sec_id,xml_refs,pdf_refs,overlap,only_xml,only_pdf,precision,recall,f1
§408.912,3,3,3,0,0,1.0,1.0,1.0
§408.913,2,2,2,0,0,1.0,1.0,1.0
§408.914,1,1,1,0,0,1.0,1.0,1.0
§408.918,9,0,0,9,0,0.0,0.0,1.0
§408.920,1,1,1,0,0,1.0,1.0,1.0
§408.922,1,1,1,0,0,1.0,1.0,1.0
§408.923,2,1,1,1,0,1.0,0.5,0.667
§408.930,2,2,2,0,0,1.0,1.0,1.0
§408.931,2,1,1,1,0,1.0,0.5,0.667
§408.932,2,1,1,1,0,1.0,0.5,0.667
§408.933,7,7,7,0,0,1.0,1.0,1.0
§408.940,7,7,7,0,0,1.0,1.0,1.0
§408.941,0,0,0,0,0,1.0,1.0,1.0
§408.942,2,2,2,0,0,1.0,1.0,1.0
§408.943,1,1,1,0,0,1.0,1.0,1.0
§408.944,0,0,0,0,0,1.0,1.0,1.0
§408.945,4,4,4,0,0,1.0,1.0,1.0
§408.946,0,0,0,0,0,1.0,1.0,1.0
§408.950,1,1,1,0,0,1.0,1.0,1.0
§408.1000,1,0,0,1,0,0.0,0.0,1.0
§408.1001,0,0,0,0,0,1.0,1.0,1.0
§408.1002,0,0,0,0,0,1.0,1.0,1.0
§408.1003,2,0,0,2,0,0.0,0.0,1.0
§408.1004,4,3,3,1,0,1.0,0.75,0.857
§408.1005,1,1,1,0,0,1.0,1.0,1.0
§408.1006,0,0,0,0,0,1.0,1.0,1.0
§408.1007,0,0,0,0,0,1.0,1.0,1.0
§408.1009,2,2,2,0,0,1.0,1.0,1.0
§408.1011,0,0,0,0,0,1.0,1.0,1.0
§408.1013,0,0,0,0,0,1.0,1.0,1.0
§408.1014,0,0,0,0,0,1.0,1.0,1.0
§408.1015,1,1,1,0,0,1.0,1.0,1.0
§408.1016,0,0,0,0,0,1.0,1.0,1.0
§408.1020,0,0,0,0,0,1.0,1.0,1.0
§408.1021,0,0,0,0,0,1.0,1.0,1.0
§408.1022,0,0,0,0,0,1.0,1.0,1.0
§408.1030,5,5,4,1,1,0.8,0.8,0.8
§408.1040,6,6,5,1,1,0.833,0.833,0.833
§408.1045,4,4,3,1,1,0.75,0.75,0.75
§408.1050,8,8,7,1,1,0.875,0.875,0.875
§408.1060,1,1,0,1,1,0.0,0.0,1.0
§408.1070,6,3,2,4,1,0.667,0.333,0.444
§408.1101,13,12,12,1,0,1.0,0.923,0.96
§408.1201,0,0,0,0,0,1.0,1.0,1.0
§408.1205,0,0,0,0,0,1.0,1.0,1.0
§408.1210,1,1,1,0,0,1.0,1.0,1.0
§408.1215,1,1,1,0,0,1.0,1.0,1.0
§408.1220,0,0,0,0,0,1.0,1.0,1.0
§408.1225,32,32,32,0,0,1.0,1.0,1.0
§408.1226,0,0,0,0,0,1.0,1.0,1.0
§408.1230,0,0,0,0,0,1.0,1.0,1.0
§408.1235,3,2,2,1,0,1.0,0.667,0.8
