src_sec_id,match_text,match_kind,span_start,span_end,norm_token
§408.430,§ 408.432,single,240,249,§408.432
§408.437,§ 408.234,single,67,76,§408.234
§408.505,§ 416.410,single,134,143,§416.410
§408.505,§ 416.405,single,324,333,§416.405
§408.505,§ 408.510,single,621,630,§408.510
§408.510,§ 408.220,single,79,88,§408.220
§408.601,§ 404.2001(b),single,1198,1211,§404.2001(b)
§408.610,§ 404.2010(a),single,96,109,§404.2010(a)
§408.611,§ 404.2011,single,157,167,§404.2011
§408.615,§ 404.2015,single,112,122,§404.2015
§408.618,§§ 404.2018,single,342,353,§404.2018
§408.620,§ 404.2020,single,87,97,§404.2020
§408.621,§ 404.2021(a),single,30,43,§404.2021(a)
§408.622,§ 404.2022,single,75,85,§404.2022
§408.624,§ 404.2024,single,126,136,§404.2024
§408.625,§ 404.2025,single,72,82,§404.2025
§408.626,§ 404.2026,single,109,119,§404.2026
§408.635,§ 404.2035,single,64,74,§404.2035
§408.640,§ 404.2040,single,81,91,§404.2040
§408.641,§ 404.2041,single,90,100,§404.2041
§408.645,§ 404.2045,single,117,127,§404.2045
§408.650,§ 404.2050,single,23,33,§404.2050
§408.655,§ 404.2055,single,86,96,§404.2055
§408.660,§ 404.2060,single,197,207,§404.2060
§408.708,§ 408.220,single,371,380,§408.220
§408.714,§ 408.708,single,86,95,§408.708
§408.714,§ 408.803,single,595,604,§408.803
§408.802,§§ 408.814 through 408.818,range,194,220,§408.814
§408.802,§§ 408.814 through 408.818,range,194,220,§408.815
§408.802,§§ 408.814 through 408.818,range,194,220,§408.816
§408.802,§§ 408.814 through 408.818,range,194,220,§408.817
§408.802,§§ 408.814 through 408.818,range,194,220,§408.818
§408.802,§§ 408.814,single,194,204,§408.814
§408.803,§ 408.714(b),single,154,166,§408.714(b)
§408.803,§ 408.202,single,492,501,§408.202
§408.803,§§ 408.820,single,988,998,§408.820
§408.808,§ 408.220(a),single,122,134,§408.220(a)
§408.808,§ 408.505(a),single,192,204,§408.505(a)
§408.814,§ 408.1005,single,799,809,§408.1005
§408.814,§ 408.1009,single,924,934,§408.1009
§408.818,§ 408.802(a),single,299,311,§408.802(a)
§408.820,§ 404.704(b),single,284,296,§404.704(b)
§408.820,§ 408.1009,single,1435,1445,§408.1009
§408.820,§ 408.1011,single,1622,1632,§408.1011
§408.900,§§ 408.910 through 408.914,range,525,551,§408.910
§408.900,§§ 408.910 through 408.914,range,525,551,§408.911
§408.900,§§ 408.910 through 408.914,range,525,551,§408.912
§408.900,§§ 408.910 through 408.914,range,525,551,§408.913
§408.900,§§ 408.910 through 408.914,range,525,551,§408.914
§408.900,§§ 408.920 through 408.946,range,617,643,§408.920
§408.900,§§ 408.920 through 408.946,range,617,643,§408.921
§408.900,§§ 408.920 through 408.946,range,617,643,§408.922
§408.900,§§ 408.920 through 408.946,range,617,643,§408.923
§408.900,§§ 408.920 through 408.946,range,617,643,§408.924
§408.900,§§ 408.920 through 408.946,range,617,643,§408.925
§408.900,§§ 408.920 through 408.946,range,617,643,§408.926
§408.900,§§ 408.920 through 408.946,range,617,643,§408.927
§408.900,§§ 408.920 through 408.946,range,617,643,§408.928
§408.900,§§ 408.920 through 408.946,range,617,643,§408.929
§408.900,§§ 408.920 through 408.946,range,617,643,§408.930
§408.900,§§ 408.920 through 408.946,range,617,643,§408.931
§408.900,§§ 408.920 through 408.946,range,617,643,§408.932
§408.900,§§ 408.920 through 408.946,range,617,643,§408.933
§408.900,§§ 408.920 through 408.946,range,617,643,§408.934
§408.900,§§ 408.920 through 408.946,range,617,643,§408.935
§408.900,§§ 408.920 through 408.946,range,617,643,§408.936
§408.900,§§ 408.920 through 408.946,range,617,643,§408.937
§408.900,§§ 408.920 through 408.946,range,617,643,§408.938
§408.900,§§ 408.920 through 408.946,range,617,643,§408.939
§408.900,§§ 408.920 through 408.946,range,617,643,§408.940
§408.900,§§ 408.920 through 408.946,range,617,643,§408.941
§408.900,§§ 408.920 through 408.946,range,617,643,§408.942
§408.900,§§ 408.920 through 408.946,range,617,643,§408.943
§408.900,§§ 408.920 through 408.946,range,617,643,§408.944
§408.900,§§ 408.920 through 408.946,range,617,643,§408.945
§408.900,§§ 408.920 through 408.946,range,617,643,§408.946
§408.900,§§ 408.904,single,407,417,§408.904
§408.900,§§ 408.910,single,525,535,§408.910
§408.900,§§ 408.920,single,617,627,§408.920
§408.900,§ 408.950,single,648,657,§408.950
§408.900,Sections 408.901,word,130,146,§408.901
§408.902,§ 408.910,single,482,491,§408.910
§408.903,§§ 408.910 through 408.914,range,656,682,§408.910
§408.903,§§ 408.910 through 408.914,range,656,682,§408.911
§408.903,§§ 408.910 through 408.914,range,656,682,§408.912
§408.903,§§ 408.910 through 408.914,range,656,682,§408.913
§408.903,§§ 408.910 through 408.914,range,656,682,§408.914
§408.903,§§ 408.910,single,656,666,§408.910
§408.903,§ 408.918(a),single,1092,1104,§408.918(a)
§408.905,§§ 408.910 through 408.914,range,201,227,§408.910
§408.905,§§ 408.910 through 408.914,range,201,227,§408.911
§408.905,§§ 408.910 through 408.914,range,201,227,§408.912
§408.905,§§ 408.910 through 408.914,range,201,227,§408.913
§408.905,§§ 408.910 through 408.914,range,201,227,§408.914
§408.905,§§ 408.910,single,201,211,§408.910
§408.910,§ 408.902(b),single,507,519,§408.902(b)
§408.910,§ 408.912,single,949,958,§408.912
§408.910,§ 408.641,single,1163,1172,§408.641
§408.910,§ 408.914,single,1564,1573,§408.914
§408.912,§ 408.910(c)(1),single,1956,1971,§408.910(c)(1)
§408.912,§ 408.902(b),single,2105,2117,§408.902(b)
§408.912,§ 408.641,single,2222,2231,§408.641
§408.913,§ 408.912,single,83,92,§408.912
§408.913,§ 404.508(a),single,414,426,§404.508(a)
§408.914,§ 408.912,single,83,92,§408.912
§408.918,§§ 408.920-408.923,range,454,472,§408.920
§408.918,§§ 408.920-408.923,range,454,472,§408.921
§408.918,§§ 408.920-408.923,range,454,472,§408.922
§408.918,§§ 408.920-408.923,range,454,472,§408.923
§408.918,§ 408.903,single,149,158,§408.903
§408.918,§ 408.905,single,350,359,§408.905
§408.918,§§ 408.920-408,single,454,468,§408.920-408
§408.918,§ 408.910,single,595,604,§408.910
§408.918,§ 408.1005,single,755,765,§408.1005
§408.920,§ 408.922,single,266,275,§408.922
§408.922,§ 408.923,single,247,256,§408.923
§408.923,§ 408.505(a),single,347,359,§408.505(a)
§408.923,§ 404.508,single,1016,1025,§404.508
§408.930,§ 404.401(a),single,496,508,§404.401(a)
§408.930,§ 416.420,single,634,643,§416.420
§408.931,§§ 416.1112,single,756,767,§416.1112
§408.931,§ 408.923,single,1214,1223,§408.923
§408.931,§ 408.923,single,1618,1627,§408.923
§408.932,§ 408.931(b),single,348,360,§408.931(b)
§408.932,§ 408.931(d),single,596,608,§408.931(d)
§408.933,§§ 408.910 through 408.914,range,1192,1218,§408.910
§408.933,§§ 408.910 through 408.914,range,1192,1218,§408.911
§408.933,§§ 408.910 through 408.914,range,1192,1218,§408.912
§408.933,§§ 408.910 through 408.914,range,1192,1218,§408.913
§408.933,§§ 408.910 through 408.914,range,1192,1218,§408.914
§408.933,§ 408.932,single,211,220,§408.932
§408.933,§ 408.931(d),single,929,941,§408.931(d)
§408.933,§§ 408.910,single,1192,1202,§408.910
§408.940,§§ 408.940 through 408.946,range,214,240,§408.940
§408.940,§§ 408.940 through 408.946,range,214,240,§408.941
§408.940,§§ 408.940 through 408.946,range,214,240,§408.942
§408.940,§§ 408.940 through 408.946,range,214,240,§408.943
§408.940,§§ 408.940 through 408.946,range,214,240,§408.944
§408.940,§§ 408.940 through 408.946,range,214,240,§408.945
§408.940,§§ 408.940 through 408.946,range,214,240,§408.946
§408.940,§§ 408.940,single,214,224,§408.940
§408.942,§ 408.941,single,58,67,§408.941
§408.942,§ 408.910,single,771,780,§408.910
§408.943,§ 408.945,single,362,371,§408.945
§408.945,§ 408.941,single,58,67,§408.941
§408.945,§ 408.942(a),single,144,156,§408.942(a)
§408.945,§ 408.942(b),single,205,217,§408.942(b)
§408.945,§ 408.910,single,260,269,§408.910
§408.950,§ 404.515(b),single,696,708,§404.515(b)
§408.1000,§ 408.1003,single,715,725,§408.1003
§408.1003,§ 408.351,single,659,668,§408.351
§408.1003,§ 408.1001,single,910,920,§408.1001
§408.1004,§ 408.351(f),single,793,805,§408.351(f)
§408.1004,§ 408.351(f),single,937,949,§408.351(f)
§408.1004,§ 408.943,single,1079,1088,§408.943
§408.1004,§ 408.1001,single,1253,1263,§408.1001
§408.1004,§ 408.1003(h),single,1319,1332,§408.1003(h)
§408.1005,§ 408.820,single,752,761,§408.820
§408.1009,§ 404.1927,single,689,699,§404.1927
§408.1009,§ 408.1011,single,1281,1291,§408.1011
§408.1015,§ 408.1011(b),single,321,334,§408.1011(b)
§408.1030,§§ 416.1423-416.1428,range,260,280,§416.1423
§408.1030,§§ 416.1423-416.1428,range,260,280,§416.1424
§408.1030,§§ 416.1423-416.1428,range,260,280,§416.1425
§408.1030,§§ 416.1423-416.1428,range,260,280,§416.1426
§408.1030,§§ 416.1423-416.1428,range,260,280,§416.1427
§408.1030,§§ 416.1423-416.1428,range,260,280,§416.1428
§408.1030,§§ 416.1423-416,single,260,275,§416.1423-416
§408.1030,§ 416.1425,single,367,377,§416.1425
§408.1030,§ 408.1009(b),single,476,489,§408.1009(b)
§408.1030,§ 416.1411,single,551,561,§416.1411
§408.1030,§ 408.1011,single,582,592,§408.1011
§408.1040,§§ 416.1429-1416,single,164,180,§416.1429-1416
§408.1040,§ 416.1433,single,273,283,§416.1433
§408.1040,§ 408.1009(b),single,382,395,§408.1009(b)
§408.1040,§ 416.1433(c),single,439,452,§416.1433(c)
§408.1040,§ 416.1411,single,457,467,§416.1411
§408.1040,§ 408.1011,single,488,498,§408.1011
§408.1045,§§ 416.1444-416.1461,range,136,156,§416.1444
§408.1045,§§ 416.1444-416.1461,range,136,156,§416.1445
§408.1045,§§ 416.1444-416.1461,range,136,156,§416.1446
§408.1045,§§ 416.1444-416.1461,range,136,156,§416.1447
§408.1045,§§ 416.1444-416.1461,range,136,156,§416.1448
§408.1045,§§ 416.1444-416.1461,range,136,156,§416.1449
§408.1045,§§ 416.1444-416.1461,range,136,156,§416.1450
§408.1045,§§ 416.1444-416.1461,range,136,156,§416.1451
§408.1045,§§ 416.1444-416.1461,range,136,156,§416.1452
§408.1045,§§ 416.1444-416.1461,range,136,156,§416.1453
§408.1045,§§ 416.1444-416.1461,range,136,156,§416.1454
§408.1045,§§ 416.1444-416.1461,range,136,156,§416.1455
§408.1045,§§ 416.1444-416.1461,range,136,156,§416.1456
§408.1045,§§ 416.1444-416.1461,range,136,156,§416.1457
§408.1045,§§ 416.1444-416.1461,range,136,156,§416.1458
§408.1045,§§ 416.1444-416.1461,range,136,156,§416.1459
§408.1045,§§ 416.1444-416.1461,range,136,156,§416.1460
§408.1045,§§ 416.1444-416.1461,range,136,156,§416.1461
§408.1045,§§ 416.1444-416,single,136,151,§416.1444-416
§408.1045,§ 416.1446(b)(1),single,248,264,§416.1446(b)(1)
§408.1045,§ 416.1452(a)(1)(i),single,323,342,§416.1452(a)(1)(i)
§408.1045,§ 416.1457,single,418,428,§416.1457
§408.1050,§§ 416.1467-416.1482,range,136,156,§416.1467
§408.1050,§§ 416.1467-416.1482,range,136,156,§416.1468
§408.1050,§§ 416.1467-416.1482,range,136,156,§416.1469
§408.1050,§§ 416.1467-416.1482,range,136,156,§416.1470
§408.1050,§§ 416.1467-416.1482,range,136,156,§416.1471
§408.1050,§§ 416.1467-416.1482,range,136,156,§416.1472
§408.1050,§§ 416.1467-416.1482,range,136,156,§416.1473
§408.1050,§§ 416.1467-416.1482,range,136,156,§416.1474
§408.1050,§§ 416.1467-416.1482,range,136,156,§416.1475
§408.1050,§§ 416.1467-416.1482,range,136,156,§416.1476
§408.1050,§§ 416.1467-416.1482,range,136,156,§416.1477
§408.1050,§§ 416.1467-416.1482,range,136,156,§416.1478
§408.1050,§§ 416.1467-416.1482,range,136,156,§416.1479
§408.1050,§§ 416.1467-416.1482,range,136,156,§416.1480
§408.1050,§§ 416.1467-416.1482,range,136,156,§416.1481
§408.1050,§§ 416.1467-416.1482,range,136,156,§416.1482
§408.1050,§§ 416.1467-416,single,136,151,§416.1467-416
§408.1050,§ 416.1468(b),single,248,261,§416.1468(b)
§408.1050,§ 408.1009(b),single,365,378,§408.1009(b)
§408.1050,§ 416.1469(d),single,388,401,§416.1469(d)
§408.1050,§ 416.1471,single,460,470,§416.1471
§408.1050,§ 416.1482,single,525,535,§416.1482
§408.1050,§ 416.1411,single,555,565,§416.1411
§408.1050,§ 408.1011,single,607,617,§408.1011
§408.1060,§§ 416.1483-416.1485,range,113,133,§416.1483
§408.1060,§§ 416.1483-416.1485,range,113,133,§416.1484
§408.1060,§§ 416.1483-416.1485,range,113,133,§416.1485
§408.1060,§§ 416.1483-416,single,113,128,§416.1483-416
§408.1070,§§ 416.1487-416.1494,range,165,185,§416.1487
§408.1070,§§ 416.1487-416.1494,range,165,185,§416.1488
§408.1070,§§ 416.1487-416.1494,range,165,185,§416.1489
§408.1070,§§ 416.1487-416.1494,range,165,185,§416.1490
§408.1070,§§ 416.1487-416.1494,range,165,185,§416.1491
§408.1070,§§ 416.1487-416.1494,range,165,185,§416.1492
§408.1070,§§ 416.1487-416.1494,range,165,185,§416.1493
§408.1070,§§ 416.1487-416.1494,range,165,185,§416.1494
§408.1070,§§ 416.1487-416,single,165,180,§416.1487-416
§408.1070,§ 416.1488,single,308,318,§416.1488
§408.1070,§ 416.1492(b),single,628,641,§416.1492(b)
§408.1070,§ 408.820,single,692,701,§408.820
§408.1070,§ 416.1494,single,759,769,§416.1494
§408.1070,§ 408.1009(b),single,873,886,§408.1009(b)
§408.1101,§§ 416.1500-416.1505,range,162,182,§416.1500
§408.1101,§§ 416.1500-416.1505,range,162,182,§416.1501
§408.1101,§§ 416.1500-416.1505,range,162,182,§416.1502
§408.1101,§§ 416.1500-416.1505,range,162,182,§416.1503
§408.1101,§§ 416.1500-416.1505,range,162,182,§416.1504
§408.1101,§§ 416.1500-416.1505,range,162,182,§416.1505
§408.1101,§§ 416.1500-416,single,162,177,§416.1500-416
§408.1101,§ 416.1500,single,346,356,§416.1500
§408.1101,§ 416.1503,single,413,423,§416.1503
§408.1101,§ 416.1507(c),single,504,517,§416.1507(c)
§408.1101,§ 408.1009(b),single,599,612,§408.1009(b)
§408.1101,§ 416.1510(b),single,622,635,§416.1510(b)
§408.1101,§ 416.315,single,742,751,§416.315
§408.1101,§ 408.315,single,772,781,§408.315
§408.1101,§ 416.1540,single,791,801,§416.1540
§408.1101,§ 416.1411(b),single,958,971,§416.1411(b)
§408.1101,§ 408.1011(b),single,1028,1041,§408.1011(b)
§408.1101,§ 416.1545,single,1051,1061,§416.1545
§408.1101,§ 416.1599,single,1100,1110,§416.1599
§408.1210,§ 408.1235,single,3014,3024,§408.1235
§408.1215,§ 408.1230,single,281,291,§408.1230
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.910
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.911
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.912
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.913
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.914
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.915
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.916
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.917
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.918
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.919
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.920
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.921
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.922
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.923
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.924
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.925
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.926
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.927
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.928
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.929
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.930
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.931
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.932
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.933
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.934
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.935
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.936
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.937
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.938
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.939
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.940
§408.1225,§§ 408.910 through 408.941,range,175,201,§408.941
§408.1225,§§ 408.910,single,175,185,§408.910
§408.1235,§ 408.1210(b),single,470,483,§408.1210(b)
§408.1235,§ 408.1210(d),single,1790,1803,§408.1210(d)
§408.1235,§ 408.1205,single,2675,2685,§408.1205
